ArrayID	Name	BitVector
RNF8	RNF8: RNF8	11111111111111111111111111111112111111111111111111112111111111111101111111111111011111211111111111111111111111111111111111120111111111
DHRS1	DHRS1: DHRS1	01102101212101000202101110111111110010002002011121010110220211221101220001220111121111202111210100002111111210110101102010020021111110
CNPPD1	CNPPD1: CNPPD1	01111101201101100202201100111201110110012112001111111110210111121001220101220101020111212111220100011111100100201110102010110021100001
CDH18	CDH18: CDH18	02101220200020202220222020022002000012220120210000102000002000001001000000012000200200000200001202000000102101000002020002202201012022
CCND3	CCND3: CCND3	21121011111101111101111111100111121121112011111101112111111100022101110011111112111101212211111110122111000201112021111101111110101111
PGA3	PGA3: PGA3	00010000000020002020010201000000001000200000100000020100000001000010000000000000001000000000000000000000000000000002000000000000000000
MIR575	MIR575: MIR575	11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
GSC2	GSC2: GSC2	11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
VCX2	VCX2: VCX2	00000000000001000000000200000000100000000000000000000000000000000000000000000100000000000000000000000000000000000000002000000000000000
C7orf11	C7orf11: C7orf11	01111111111111101002101111111101111110011112011111111211111112121101111011220111021111112111221110011111111111111121202110111111111110
DENND3	DENND3: DENND3	20020120020010111110011212000111121112111110221110112021111000001211002110001011101101111112002122222102101121112012021211112101101002
MTPN	MTPN: MTPN	11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
HUS1B	HUS1B: HUS1B	22120011110000102211120022010112111120112120112000110021110110011112100112210020112210120111121011101101001110212102111012020212122112
ACOT2	ACOT2: ACOT2	01101101212102100102201100111211111110002112101111111111220111120101211002220111121011102110220111010111110100211111102010110112111111
TEX21P	TEX21P: TEX21P	11121120120000222221022022022010221002121120121111002011022022102020111201112212010222000202011211222211100222001102120021012110221101
CMTM6	CMTM6: CMTM6	20111121111212111011121112211112112101210111110212121212112121211111112121111121111121010102101121120121111021011121220111112101110111
WWP2	WWP2: WWP2	12111101112101101201201100111211211101112112001121111111210111121111111111211111121111112111110111011111111101211101102110110111011110
PORCN	PORCN: PORCN	11111011111011112211111111010111101121111011220100011011111010011112101111101111102101111102011122212112111110112011011201111111101111
RAB12	RAB12: RAB12	21111021110121122021021122011110111121210110121101111112012111102111011110011111112211010111102122210111021122011111120212112111112111
LOC144776	LOC144776: LOC144776	11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
PAPPA2	PAPPA2: PAPPA2	01100001120212222210112211221120112202200221011222120220210210200000202021110211112021020002002022121211220000222002220000121002020201
MIR518A2	MIR518A2: MIR518A2	11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
TNNC2	TNNC2: TNNC2	02212202202012210212202011122202210021012202002022102100221222222101220202220201120211212220220100002110102201202201102010120021221122
A1CF	A1CF: A1CF	02212202222202120222202211222222222212222222002222221221221222220220222222222222221122222220222200021220222122222222212020220022222220
SLC32A1	SLC32A1: SLC32A1	20100201010020210000221202110100000100020201202002202220010122220011102200001210011102102000220000000120001000202100001021210001210000
CCL20	CCL20: CCL20	01220222022202200010212111022102211200002021012222222211211110221222202022002212002022220021000220002100202021212220201120112012210200
SNORD123	SNORD123: SNORD123	11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
C2orf69	C2orf69: C2orf69	20111210021222111011211112212111111201110221120212220211112221210121112121201121111021010201101112110121111012011111220222111101121211
CDK14	CDK14: CDK14	20120021020020222020022222111022122112220120220201212012012010102222012220002122112212020202002222221112121122011012020202212201112122
CCDC17	CCDC17: CCDC17	12122200211210111212101111011011110110011111112120011010110121022111120201021110101001012121110110111101101200112101102220110021111111
FCHO2	FCHO2: FCHO2	11212221122222121021212222222020111212220222210222220222122221200221212221202121212122020201102222220222122012011212221222112202122221
HMSD	HMSD: HMSD	22220002120201202022022210210210222200022220012200112201012022022102212220010222211221022222122022222221212222220120200022210222220121
SLX1B	SLX1B: SLX1B	11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
MIR3191	MIR3191: MIR3191	11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
MIR3609	MIR3609: MIR3609	11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
MC1R	MC1R: MC1R	21021110111020111201021111010012111111122110211020111011002001011212011102011011201100111111011121212102112211212012011202111211112112
CCKBR	CCKBR: CCKBR	00000000000000001000000022220020000022000202000000020000000000020000000000000000000000000012002020000000000000000001000000210000011000
FCER1A	FCER1A: FCER1A	00102001210020220222112022001122000022221101102001102000102122102020020201022200200210000210202200000211021112102002020002212120212222
FBN1	FBN1: FBN1	10111020010020222120022222111020002012210110220100220022002000001212002120002020202210020002002222220012021102012012020202012200102122
UNC13B	UNC13B: UNC13B	02111201212202100101201100212110211201102112001122110220220211120110211112221112120021112010121100001120211111111201202020110012121111
TSPAN6	TSPAN6: TSPAN6	02211201212202010002201000222100211200001212002122201201120222220100220112220212020022212020221000000220100010120210202020110012120110
PAK1	PAK1: PAK1	02112201112101110212201111112212111111112112001221111221221212221110221112221211121121212121211100011111112111111211202020110021111111
NIPA2	NIPA2: NIPA2	11111111111202010111111100111111111100111112011112111111111211211111111121210111111121201111211011111120111021111110211110111111110110
CAB39	CAB39: CAB39	10111121111112111011111111111010111101110112110222111111121121211110121121111111111121111111102121110111111021111111211111112111111111
