ArrayID	Name	BitVector
CEP68	212675_s_at	111111112111112020011101022112012012122212212122112222211221212222100000110101102000001000020010020021221111121111100010000111212221211222221222212111111222212111200112011112222222222222222221222222222121222111211222222222222222
DLX6	242940_x_at	000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010000000110000000000000000000000000000011000011010000000001000000011011000102012110111011210221110001000100
PLRG1	225194_at	111121112222222222222222221222122112222222222122222222222222212222212112121211211110110010020001010012222222222111111222222222222222222222222222222222222222222211121112111111222222222222222222222222222222222221221222221222211212
FAM120AOS	225395_s_at	222222121222221222122221222222222222222222222222222222222222222222211111112112112110220220120011020122222222222222111111111222222222222212222222222221222222222212211222202111222222221222222222222212222221222211211212222222222222
GPX4	201106_at	112212211211111111111122112221212221122111112122212212211211112211110100111110111010111121122011121122121121222121211100000222212220202122220111112101120212121222221212222112221222221222222222222222222222221000000222221110011011
TMEM138	223113_at	111111111112111211121211102211121111222212222112112112111221112212111211111111121110100000010000010111211111111111111112111222211121112211121222122121111112222111121111111111112221121122222112121212221111222200111222222122222222
RP11-345P4.4	217122_s_at	222222121211221121011111122122222121111212111112111111111121112212211111011011011010110111010011020012212221121211101111011121112112121211102212112221112111111122211212112111212111112111112110121121111111211110100222222222222222
EEF2	204102_s_at	222222222222222222222222212222122222222222222222222222222222222222212111111211111110121120120021020222222222222222222101000222222222212122211211222212220222211222222222222222222222222222222222222222222222222100000222221222112211
C11orf31	228332_s_at	122222222222222222222222222222222222222222222222222222222222222222222222222222222220210122020022020122222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222
GNG10	201921_at	222222222222222222222222222222212222222222222222222222222222222222222222222222222220111110020021020022222222222222222222112222222222222222222222222222222222222222222222222112222222222222222222222222222221222221221222222222222222
PFKFB3	202464_s_at	000000000110101000111100010000101011111101111011111111101111101011112121222221211210000101010010020010111000000000211110111111101112121121102111111120112110111112021121110011122111122111121112111111112110121100100012112221222212
RGS18	223809_at	000010000010112010011010000010001001222221212110111212101211111111200000000000100000000000000000000000010000000000000000000121221222221221222222012220012111222200010000000000001110101010100001111211110020021000000000102010021001
AAK1	205434_s_at	112111110201221010110110012212222220111101111111111111111101101111111221112122122221221222211121022111111122111221122001101010212111011011001100221202211111110000000100001101000000000000000000000000000000000011111011000000000000
ALS2CR16	1554106_at	112200012222212222222222211102221112211221222221122222120222212222202110010012110110001000000000000001110211111211112111111122122220102012110000222202210222210100100001001000012111111101221221021111211010210100000111120000000000
TMEM167	226276_at	222222222222222222222222222222222222222222222222222222222222222222222222222222222220210120010021020022222222222222222222222222222222222222222222222222222222222222222222222122222222222222222222222222222222222211222222222222222222
PEX19	201707_at	111111111111111122111211122211111222122212222111221222212222111212211111112111111110011110110010020111111211222211111011000111222222222222222222222121122222222211111111101112111111222121211111122222212221221100100111112222222222
ATF1	222103_at	222222222222222222222222222222222222222222222222222222222222222222222222222222222220210110020020020012222222222222122222212222222222222222222222222222222222222222222122222111222222222222222222222222222221222211221222222222222222
TTYH3	224674_at	111112110000100100100010000010000000011000000011111101000000011000000100000010001011122111200111201210010010100001100000010111000010000010000000010100000000010022222222222212211121112111212101111111111112111011111111120000000001
PPIE	210502_s_at	111111111121211111111211111121112122222222222222212222211222122222201001110100000000000000010000010012222111212111111101000122211220212112220110122101120212121211111112111101222222222222222122222222222222222000000222220111111000
LOC100130930	228251_at	111111212122102212212122200100000112211212222122122121121212222212200001000000000001001001102001200100110100110101010000000222111220202112220111111101120221221222111122211010212212122211222222222222222122211000001201220000100000
ARPP-19	221482_s_at	011121122222212122122211211110112112222222222121222222222222222222222222222222222220000000020000020012222222222121212221112221222222222222222222222222122222222222222122212011222222222222222222222222222221222100110222222222222222
STK17A	202693_s_at	011121112221222222222222222221222222222122212122121222212221012211222222222222222220210220010022020021222222222221222010000112221222222222222222122222122222222201112110100010012221111111221112211211112020022200000111112121112111
